ID,Area,Severity,Type,Location,Evidence,Impact,Recommended fix
F-11,Dummy / seed UI copy,High,DummyData,"lib/reports-store.ts sitrep-20260914/07; public_dashboard canned ai_summary ~4263; RegionalIncidentPage TEMPLATE_EVENT; reports confidence||0.88","Seed SitRep cases 7640 deaths 24 countries 38. Production ai_summary is a fixed paragraph cached:true. /detail-region is a static template.","Leadership can treat seed/template numbers as live.","Delete seed overrides; empty-state instead of TEMPLATE_EVENT; generate summary from real kpis or show insufficient data."
F-12,Public-dashboard payload,High,Perf,"JSONB_AGG original_text into location detail ~3954","Live body 1138607 bytes; homepage reload 60s; crawling-stats poll 5s; TTFB ~5.7s.","Slow UI proxy 504s; scrapable full article text.","Return event_id + metadata; lazy-load body; short TTL cache; stop polling the heavy endpoint."
F-13,Query shape,Medium,Perf,"LATERAL locations per event; disease_trend ranked CTE scans all events then filters dates","Trend ?days=7 still ~2.5s. No evidence of lower(location_name) index.","DB CPU as events grow past 43k.","Filter dates before window functions; add indexes on published_at is_health_related raw_report_id lower(location_name)."
F-14,Reports client merge,Medium,Bug,"app/reports/page.tsx loadRealSurveillanceData","Merges LIMIT-100 clusters with 250 newest unfiltered events; client formatDiseaseName/resolveCountry; invented confidence 0.85-0.88.","Matrix KPIs != dashboard; disease names split.","Single paginated server endpoint with dashboard validity rules."
F-15,Events list vs dashboard,Medium,DataMismatch,"list_events ORDER BY created_at; no default health/confidence; published_at::text compare","events total 43055 vs dashboard events 1975.","Events page/reports log are not the dashboard population.","Shared validity filter; order by published_at; typed dates."
F-16,Weekly trend is monthly,Medium,Bug,"weekly_trend GROUP BY DATE_TRUNC('month') while selecting epidemiological_week","Live 9 monthly buckets labeled weekly.","Epi-week charts are months.","Group by ISO week or SKDR week; rename if monthly is intended."
F-17,Country / disease normalize drift,Medium,DataMismatch,"Heatmap Other vs dashboard OUTSIDE ASEAN; CASE standard_disease vs canonical_for_dashboard vs client formatDiseaseName","Heatmap Malaysia deaths 507172 > cases 286091. Stats splits Dengue vs dengue fever DBD.","Widgets do not add up; CFR>100%.","Single country/disease dimensions; flag death>case as extraction errors."
F-18,EWS vs KPI alerts,Medium,DataMismatch,"kpis.active_alerts after LIMIT 100 vs trends.alerts vs weekly outbreak_alert counts","Live active_alerts 10 vs trends.alerts.current 9.","Active alerts is not one number.","Count verified alerts from unbounded set."
F-19,XSS / CSP,Medium,Security,"next.config.mjs script-src unsafe-inline unsafe-eval; IncidentMap innerHTML; cleanArticleContent regex","Production CSP still allows eval. Article text currently rendered as text.","Future HTML render of detail.content would be a stored XSS sink.","Keep text rendering; real sanitizer if HTML needed; drop unsafe-eval."
F-20,Ingest / collect without auth,Medium,Security,"POST /ingest /sources/:id/collect /sources/collect-all","No require_admin.","Queue flooding and third-party scrape abuse.","Auth + rate limits; collect only configured source IDs."
F-21,GET console settings,Medium,Security,"get_system_settings unauthenticated; live 55KB data-URI logo","settings-context fetches on every public page.","Payload bloat; unauthenticated branding dump.","Public branding URLs only; store logos as files."
F-22,Tokens,Medium,Security,"auth_tokens 24h; localStorage auth_token","No rotation. XSS steals bearer.","Stolen token is full admin session.","httpOnly Secure cookies; shorter TTL; rotation."
F-23,Collector asset GET,Medium,Security,"GET /assets/{object_path:path}","Path passed to MinIO get_object.","Read of non-branding objects if keys leak.","Prefix branding/; auth on upload; reject .."
F-24,Homepage polling race,Low,Bug,"page.tsx 60s dashboard + 5s crawling-stats; no abort","5-6s dashboard can overwrite a newer filter result.","Stale KPI after filter change.","AbortController; ignore out-of-order responses."
F-25,Analyze-url 7-day cache,Medium,Bug,"analyze_url cache ~1482; ANALYZE_URL_USE_CACHE=true","Returns prior NLP row without re-analysis (historical BUG-04).","Pipeline fixes invisible for cached URLs.","Version cache key with model/pipeline; admin bypass."
F-26,SKDR reports total,Low,Bug,"list_skdr_reports total=data.len() after LIMIT","total equals page size.","Broken pagination.","Separate COUNT(*)."
F-27,Hardcoded disease CASE lists,Medium,DummyData,"disease_trend_overview and morbidity SQL CASE ~2961 ~3300","disease=influenza LIKE %flu% matches avian influenza.","Wrong filters; ICD-11 names omitted.","Join disease_concepts/aliases."
F-28,Env / compose drift,Medium,Bug,".env.example BACKEND_PORT=8080 vs README 8081 vs next disease-backend-rust:8081; docker-compose.yml gitignored; CONSOLE_MODULE_GUIDE WSL paths and :8088","Gitea deploy curls 127.0.0.1:8081. console.rs documented but does not exist.","WSL vs production 502/wrong service DNS.","Checked-in compose template; align ports/service names; fix docs."
F-29,NEXT_PUBLIC_API_BASE_URL,Low,Bug,".env.example http://localhost:8080; auth.ts logout","Browser API path is /nlp via rewrites not :8080.","WSL hitting unpublished backend.","Use NEXT_PUBLIC_BASE_PATH only."
F-30,test_accuracy dead port,Low,Bug,"test_accuracy.py ALT_API_URL localhost:8081 still defined","call_api no longer uses it; BUG-13 claimed removal.","WSL/debug confusion.","Delete constant; single NLP_API_URL env."
F-31,CURRENT_YEAR_ONLY vs available years,Low,DataMismatch,".env.example CURRENT_YEAR_ONLY=true; live available_years 2026..2005","Collector may skip old articles while dropdown lists 2005.","Year filter implies complete history.","Drive years from ingest policy or label historical."
F-32,CSP vs Next rebuild,Low,UX,"Production CSP includes googletagmanager; repo next.config.mjs does not","Live header != git.","Confirms overlay drift WSL vs prod.","CSP in git as source of truth."
F-33,Login oracle,Low,Security,"login same Invalid credentials message","User enumeration already provided by GET /users.","Minor vs F-01.","Fix F-01 first."
F-34,Reports public PII,Medium,Security,"/nlp/reports public; detail.content from 1.1MB dashboard","CORS * and no login.","Scrapable full articles / possible PII.","Truncate public content; auth for full text."
